"","series","baker","baker_last_name","baker_age","baker_occupation","hometown","signature_bake_1","signature_bake_2","signature_bake_3","signature_bake_4","signature_bake_5","signature_bake_6","signature_bake_7","signature_bake_8","signature_bake_9","signature_bake_10","show_stopper_1","show_stopper_2","show_stopper_3","show_stopper_4","show_stopper_5","show_stopper_6","show_stopper_7","show_stopper_8","show_stopper_9","show_stopper_10","technical_1","technical_2","technical_3","technical_4","technical_5","technical_6","technical_7","technical_8","technical_9","technical_10","result_1","result_2","result_3","result_4","result_5","result_6","result_7","result_8","result_9","result_10"
"1",1,"Annetha","Mills",30,"Midwife","Essex","Light Jamaican Black Cakewith Strawberries and Cream","Rose Petal Shortbread",NA,NA,NA,NA,NA,NA,NA,NA,"Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream","Pink Swirl Macarons / Eclairs",NA,NA,NA,NA,NA,NA,NA,NA,2,7,NA,NA,NA,NA,NA,NA,NA,NA,"IN","OUT",NA,NA,NA,NA,NA,NA,NA,NA
"2",1,"David","Chambers",31,"Entrepreneur","Milton Keynes","Chocolate Orange Cake","Cheddar Cheese and Fresh Rosemary Biscuits","Chilli Bread","Pear and Walnut Pudding",NA,NA,NA,NA,NA,NA,"Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs","Choux Pastry Swans  Chocolate Profiteroles","Walnut and Seed Roll
Red Berry and Almond Bun","Apple and Blackberry Crumble, Rhubarb and Orange Betty, Suet Pear",NA,NA,NA,NA,NA,NA,3,8,4,5,NA,NA,NA,NA,NA,NA,"IN","IN","IN","OUT",NA,NA,NA,NA,NA,NA
"3",1,"Edd","Kimber",24,"Debt collector for Yorkshire Bank","Bradford","Caramel Cinnamon and Banana Cake","Oatmeal Raisin Cookie","Olive Bread","Apple and Plum Pudding","Chicken, Ham, Leek and Tarragon Pie","Cinnamon and Banana Cake",NA,NA,NA,NA,"N/A","Pink Macarons","Tomato and Mozzarella","Apple and Cinnamon Crumble, Nutella Banana Brioche Bread Pudding, Rhubarb and Strawberry Suet Layer","Almond Sweet Pastry with Ginger and Chocolate  Raspberry Tart / Yorkshire Curd Tart  Chickpea and Salami, Red and Yellow Pepper, Asparagus Gruyere Quiche Canapés",NA,NA,NA,NA,NA,1,6,1,3,2,NA,NA,NA,NA,NA,"IN","IN","IN","IN","IN","WINNER",NA,NA,NA,NA
"4",1,"Jasminder","Randhawa",45,"Assistant Credit Control Manager","Birmingham","Fresh Mango and Passion Fruit Hummingbird Cake","Millionaires' Shortbread","Focaccia","Sticky Toffee Pudding with Tropical Fruit & Toffee Sauce","Chicken and Mushroom Pie",NA,NA,NA,NA,NA,"N/A","Meringues with Chocolate and Space DustCoffee flavoured Eclairs","Mango and Sultana Buns
Pan au Chocolat with Mars Bars
Tutti Frutti Wheel with Jelly Tots","Bread & Butter Pudding, Treacle Suet Pudding with Fresh Fruit, Apple and Pineapple Crumble","Jaggery, Carrot, and Spiced Condensed Milk Tart  Fruit and Custard Tart  Thai Chili Red Onion, Duck in Plum Sauce, Salmon and Prawn Canapés",NA,NA,NA,NA,NA,NA,2,5,2,4,NA,NA,NA,NA,NA,"IN","IN","IN","IN","OUT",NA,NA,NA,NA,NA
"5",1,"Jonathan","Shepherd",25,"Research Analyst","St Albans","Carrot Cake with Lime and Cream Cheese Icing","Honey and Candied Ginger Cookies","Anchovy, Sweet Paprika and Oregano Bread",NA,NA,NA,NA,NA,NA,NA,"Three Tiered White and Dark Chocolate with Almond and Cherry","Meringues with Whiskey Cream","Sticky Lemon Honey Bun
Olive and Anchovy Roll
Sundried Tomatoes and Fresh Herbs Roll
Stilton, Walnut and Apple Roll
Cinnamon and Cardamom Chelsea Bun",NA,NA,NA,NA,NA,NA,NA,9,1,6,NA,NA,NA,NA,NA,NA,NA,"IN","IN","OUT",NA,NA,NA,NA,NA,NA,NA
"6",1,"Lea","Harris",51,"Retired","Midlothian, Scotland","Cranberry and Pistachio Cakewith Orange Flower Water Icing",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raspberries and Cream filled Chocolatewith Chocolate-dipped Fresh Fruit",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OUT",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1,"Louise","Brimelow",44,"Police Officer","Manchester","Carrot and Orange Cake","Stained Glass Window Shortbread",NA,NA,NA,NA,NA,NA,NA,NA,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border","Strawberry, Mint, and Cream Meringues  Chocolate Eclairs / Orange, Yellow and Pink Macarons",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,"IN","OUT",NA,NA,NA,NA,NA,NA,NA,NA
"8",1,"Mark","Whithers",48,"Bus Driver","South Wales","Sticky Marmalade Tea Loaf",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OUT",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1,"Miranda","Browne",37,"Food buyer for Marks & Spencer","Midhurst, West Sussex","Triple Layered Brownie Meringue Cake
with Raspberry Cream","Fresh Vanilla Biscuits with Royal Icing","Walnut and Apricot Bread","Sticky Toffee Pudding","Summery Salmon, Cod and Prawn Fish Pie","Lemon Cupcake",NA,NA,NA,NA,"Three Tiered Chocolate Fudge Cake  with Handmade Chocolate Button Decorations","Pistachio Macarons","Lemon Iced Buns
Chocolate and Orange Buns","Queen of Puddings, Chocolate Pear Roly Poly, Strawberry and Rhubarb Crumble","Chocolate Pastry filled with Orange Cheesecake  Chocolate Pastry filled with Milk Chocolate Ganche  Strawberry Tart with Red Currant Glaze  Cheesy Crab, Broad Bean and Tomato, Pancetta Risotto Canapés","Eliminated after signature",NA,NA,NA,NA,8,3,3,1,1,NA,NA,NA,NA,NA,"IN","IN","IN","IN","IN","Runner-up",NA,NA,NA,NA
"10",1,"Ruth","Clemens",31,"Retail manager/Housewife","Poynton, Cheshire","Three Tiered Lemon Drizzle Cakewith Fresh Cream and freshly made Lemon Curd","Peanut Shortbread withSalted Peanut Caramel","Maple and Pecan Bread","Peach and Blueberry Boy Bait","Minced Beef Pie","Mint, Ginger and Blackberry Cake",NA,NA,NA,NA,"Classic Chocolate Sponge wrapped in a Chocolate Collartopped with Handmade White and Dark Chocolate Truffles","Almond Macaron with Violet ButtercreamRaspberries and Cream Eclairs","Chocolate and Orange Panettone
Cranberry Bagels","Apple & Ginger Crumble, Rhubarb Suet Crust, Cherry Queen of Puddings","Raspberry and Dark Chocolate Tart  Creme Patisserie and Cherry Tart  Citrus Curd Tart with Creme Brulee top  Tomato, Asparagus Twirl Canapés",NA,NA,NA,NA,NA,NA,5,2,4,3,NA,NA,NA,NA,NA,"IN","IN","IN","IN","IN","Runner-up",NA,NA,NA,NA
